1000,0.070000,0.040000,0.020000,0.030000,0.000000,0.000000,0,1000
76000,4.620000,2.680000,1.390000,2.540000,0.070000,0.000000,0,76000
151000,9.110000,4.830000,2.790000,5.080000,0.100000,0.000000,0,151000
226000,13.950000,7.270000,4.230000,7.690000,0.090000,0.000000,0,226000
301000,18.830000,9.520000,5.620000,10.770000,0.170000,0.010000,0,301000
376000,24.100000,13.030000,7.060000,12.630000,0.210000,0.010000,0,376000
451000,28.230000,14.970000,8.500000,15.420000,0.250000,0.010000,0,451000
526000,32.280000,16.750000,9.740000,17.840000,0.300000,0.020000,0,526000
601000,38.490000,20.780000,11.360000,20.360000,0.380000,0.020000,0,601000
676000,41.360000,21.390000,12.510000,23.200000,0.410000,0.030000,0,676000
751000,46.450000,24.870000,14.030000,25.450000,0.450000,0.030000,0,751000
826000,49.950000,25.970000,15.330000,27.890000,0.570000,0.030000,0,826000
901000,49.310000,24.270000,16.790000,31.480000,0.460000,0.030000,0,901000
976000,51.040000,25.110000,18.000000,33.320000,0.420000,0.030000,0,976000
1051000,55.350000,27.410000,19.580000,36.060000,0.480000,0.040000,0,1051000
1126000,60.180000,29.230000,20.910000,39.490000,0.520000,0.040000,0,1126000
1201000,63.120000,31.020000,22.500000,41.090000,0.470000,0.040000,0,1201000
1276000,66.720000,33.310000,23.530000,43.750000,0.570000,0.040000,0,1276000
1351000,71.900000,34.330000,25.250000,47.110000,0.560000,0.050000,0,1351000
1426000,75.090000,36.730000,26.460000,49.160000,0.560000,0.050000,0,1426000
Done
