1000,0.020000,0.000000,0.010000,0.000000,0.000000,0.000000,1000,1000
76000,1.560000,0.010000,0.510000,0.400000,0.030000,0.000000,76000,76000
151000,3.150000,0.010000,1.050000,0.790000,0.020000,0.000000,151000,151000
226000,4.560000,0.010000,1.570000,1.170000,0.050000,0.000000,226000,226000
301000,6.130000,0.040000,2.080000,1.580000,0.070000,0.000000,301000,301000
376000,7.860000,0.070000,2.600000,1.980000,0.100000,0.000000,376000,376000
451000,9.080000,0.100000,3.110000,2.370000,0.120000,0.000000,451000,451000
526000,10.600000,0.080000,3.650000,2.770000,0.120000,0.000000,526000,526000
601000,13.520000,0.050000,4.040000,3.090000,0.220000,0.000000,601000,601000
676000,15.160000,0.060000,4.680000,3.520000,0.160000,0.000000,676000,676000
751000,15.830000,0.090000,5.190000,3.900000,0.200000,0.000000,751000,751000
826000,18.070000,0.140000,5.740000,4.360000,0.230000,0.000000,826000,826000
901000,18.930000,0.140000,6.260000,4.730000,0.230000,0.000000,901000,901000
976000,21.390000,0.140000,6.720000,5.080000,0.250000,0.000000,976000,976000
1051000,22.740000,0.160000,7.360000,5.610000,0.300000,0.000000,1051000,1051000
1126000,22.690000,0.140000,7.840000,6.020000,0.350000,0.000000,1126000,1126000
1201000,25.590000,0.160000,8.380000,6.410000,0.350000,0.000000,1201000,1201000
1276000,26.760000,0.220000,9.000000,6.790000,0.300000,0.000000,1276000,1276000
1351000,28.880000,0.280000,9.460000,7.190000,0.400000,0.000000,1351000,1351000
1426000,30.030000,0.200000,9.950000,7.560000,0.370000,0.000000,1426000,1426000
Done
