1000,0.070000,0.000000,0.020000,0.040000,0.000000,0.000000,0,1000
76000,4.720000,0.080000,1.500000,2.680000,0.030000,0.000000,0,76000
151000,9.260000,0.180000,3.050000,5.400000,0.110000,0.000000,0,151000
226000,14.220000,0.150000,4.370000,8.150000,0.190000,0.000000,0,226000
301000,18.310000,0.260000,5.780000,10.420000,0.250000,0.010000,0,301000
376000,24.270000,0.310000,7.350000,13.090000,0.260000,0.010000,0,376000
451000,28.270000,0.470000,8.730000,15.950000,0.400000,0.020000,0,451000
526000,33.250000,0.580000,10.680000,18.990000,0.480000,0.020000,0,526000
601000,38.530000,0.670000,11.690000,21.190000,0.490000,0.020000,0,601000
676000,41.660000,0.760000,13.190000,23.880000,0.510000,0.020000,0,676000
751000,47.000000,0.780000,14.620000,26.580000,0.610000,0.030000,0,751000
826000,49.960000,0.710000,16.140000,28.900000,0.630000,0.030000,0,826000
901000,48.680000,0.960000,17.570000,32.280000,0.500000,0.030000,0,901000
976000,51.500000,0.980000,18.900000,34.800000,0.560000,0.040000,0,976000
1051000,55.410000,1.020000,20.640000,37.110000,0.660000,0.040000,0,1051000
1126000,59.690000,1.170000,21.690000,40.490000,0.730000,0.050000,0,1126000
1201000,63.550000,1.190000,23.240000,43.050000,0.710000,0.050000,0,1201000
1276000,67.010000,1.270000,24.460000,45.490000,0.770000,0.050000,0,1276000
1351000,69.730000,1.350000,25.930000,46.950000,0.830000,0.050000,0,1351000
1426000,76.180000,1.450000,27.180000,52.150000,0.900000,0.060000,0,1426000
Done
